,song,placement,date,year,Percent Whole,hover
88,Savor,0.1,15-11-1975,1975,10.0,10.0% into Show
89,Savor,0.18181818181818182,31-12-1975,1975,18.18,18.18% into Show
90,Savor,0.14285714285714285,20-02-1976,1976,14.29,14.29% into Show
91,Savor,0.16666666666666666,22-02-1976,1976,16.67,16.67% into Show
92,Savor,0.16666666666666666,25-02-1976,1976,16.67,16.67% into Show
93,Savor,0.125,06-03-1976,1976,12.5,12.5% into Show
94,Savor,0.2857142857142857,11-03-1976,1976,28.57,28.57% into Show
95,Savor,0.14285714285714285,12-03-1976,1976,14.29,14.29% into Show
96,Savor,0.16666666666666666,13-03-1976,1976,16.67,16.67% into Show
97,Savor,0.2222222222222222,16-03-1976,1976,22.22,22.22% into Show
98,Savor,0.4166666666666667,19-04-1976,1976,41.67,41.67% into Show
99,Savor,0.4444444444444444,07-05-1976,1976,44.44,44.44% into Show
100,Savor,0.38461538461538464,08-05-1976,1976,38.46,38.46% into Show
101,Savor,0.5,10-11-1976,1976,50.0,50.0% into Show
102,Savor,0.7333333333333333,11-11-1976,1976,73.33,73.33% into Show
103,Savor,0.6666666666666666,05-12-1976,1976,66.67,66.67% into Show
104,Savor,0.6666666666666666,06-12-1976,1976,66.67,66.67% into Show
105,Savor,0.38461538461538464,08-12-1976,1976,38.46,38.46% into Show
106,Savor,0.5454545454545454,12-12-1976,1976,54.55,54.55% into Show
107,Savor,0.6,15-12-1976,1976,60.0,60.0% into Show
108,Savor,0.4166666666666667,31-12-1976,1976,41.67,41.67% into Show
109,Savor,0.4375,02-02-1977,1977,43.75,43.75% into Show
110,Savor,0.5,07-02-1977,1977,50.0,50.0% into Show
111,Savor,0.3333333333333333,06-03-1977,1977,33.33,33.33% into Show
112,Savor,0.5,16-03-1977,1977,50.0,50.0% into Show
113,Savor,0.375,18-03-1977,1977,37.5,37.5% into Show
114,Savor,0.46153846153846156,19-03-1977,1977,46.15,46.15% into Show
115,Savor,0.4117647058823529,19-08-1977,1977,41.18,41.18% into Show
116,Savor,0.4117647058823529,23-08-1977,1977,41.18,41.18% into Show
117,Savor,0.4117647058823529,30-08-1977,1977,41.18,41.18% into Show
118,Savor,0.4444444444444444,03-09-1977,1977,44.44,44.44% into Show
119,Savor,0.4666666666666667,10-09-1977,1977,46.67,46.67% into Show
120,Savor,0.6470588235294118,13-11-1977,1977,64.71,64.71% into Show
121,Savor,0.6538461538461539,22-11-1977,1977,65.38,65.38% into Show
122,Savor,0.4782608695652174,29-11-1977,1977,47.83,47.83% into Show
123,Savor,0.5925925925925926,30-11-1977,1977,59.26,59.26% into Show
124,Savor,0.5714285714285714,07-12-1977,1977,57.14,57.14% into Show
125,Savor,0.5,09-12-1977,1977,50.0,50.0% into Show
126,Savor,0.6666666666666666,12-12-1977,1977,66.67,66.67% into Show
127,Savor,0.14285714285714285,11-11-1978,1978,14.29,14.29% into Show
128,Savor,0.8,17-11-1979,1979,80.0,80.0% into Show
129,Savor,0.8235294117647058,24-11-1979,1979,82.35,82.35% into Show
130,Savor,0.9583333333333334,29-11-1979,1979,95.83,95.83% into Show
131,Savor,0.26666666666666666,23-05-1980,1980,26.67,26.67% into Show
132,Savor,0.21052631578947367,09-06-1980,1980,21.05,21.05% into Show
133,Savor,0.19047619047619047,12-06-1980,1980,19.05,19.05% into Show
134,Savor,0.26666666666666666,21-06-1980,1980,26.67,26.67% into Show
135,Savor,0.18181818181818182,01-07-1980,1980,18.18,18.18% into Show
136,Savor,0.14285714285714285,04-07-1980,1980,14.29,14.29% into Show
137,Savor,0.17391304347826086,07-07-1980,1980,17.39,17.39% into Show
138,Savor,0.21428571428571427,08-07-1980,1980,21.43,21.43% into Show
139,Savor,0.2,03-08-1980,1980,20.0,20.0% into Show
140,Savor,0.2,08-08-1980,1980,20.0,20.0% into Show
141,Savor,0.7777777777777778,25-04-1981,1981,77.78,77.78% into Show
142,Savor,0.18518518518518517,15-11-1981,1981,18.52,18.52% into Show
143,Savor,0.15384615384615385,01-12-1981,1981,15.38,15.38% into Show
144,Savor,0.2,28-08-1982,1982,20.0,20.0% into Show
145,Savor,0.21428571428571427,04-09-1982,1982,21.43,21.43% into Show
146,Savor,0.21739130434782608,05-09-1982,1982,21.74,21.74% into Show
147,Savor,0.18518518518518517,22-09-1982,1982,18.52,18.52% into Show
148,Savor,0.3125,24-09-1982,1982,31.25,31.25% into Show
149,Savor,0.25,25-09-1982,1982,25.0,25.0% into Show
150,Savor,0.5,26-09-1982,1982,50.0,50.0% into Show
151,Savor,0.2631578947368421,31-10-1982,1982,26.32,26.32% into Show
152,Savor,0.21052631578947367,05-11-1982,1982,21.05,21.05% into Show
153,Savor,0.3076923076923077,07-11-1982,1982,30.77,30.77% into Show
154,Savor,0.2,03-03-1983,1983,20.0,20.0% into Show
155,Savor,0.14285714285714285,25-03-1983,1983,14.29,14.29% into Show
156,Savor,0.16,26-03-1983,1983,16.0,16.0% into Show
157,Savor,0.16,28-03-1983,1983,16.0,16.0% into Show
158,Savor,0.16,29-03-1983,1983,16.0,16.0% into Show
159,Savor,0.16666666666666666,21-04-1983,1983,16.67,16.67% into Show
160,Savor,0.16666666666666666,22-04-1983,1983,16.67,16.67% into Show
161,Savor,0.17391304347826086,26-04-1983,1983,17.39,17.39% into Show
162,Savor,0.16666666666666666,27-04-1983,1983,16.67,16.67% into Show
163,Savor,0.20833333333333334,02-05-1983,1983,20.83,20.83% into Show
164,Savor,0.26666666666666666,03-05-1983,1983,26.67,26.67% into Show
